date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:22	42476/42476	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:20%20GMT	https://www.technex.in/startupfair/	D:/@WEB/!!technix/technix/www.technex.in/startupfair/index.html	(from https://www.technex.in/)
14:49:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:20%20GMT	https://www.technex.in/conclave	D:/@WEB/!!technix/technix/www.technex.in/conclave.11.delayed	(from https://www.technex.in/)
14:49:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:21%20GMT	https://www.technex.in/initiative	D:/@WEB/!!technix/technix/www.technex.in/initiative	(from https://www.technex.in/)
14:49:24	61891/61891	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:22%20GMT	https://www.technex.in/initiative/	D:/@WEB/!!technix/technix/www.technex.in/initiative/index.html	(from https://www.technex.in/)
14:49:24	79862/79862	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:22%20GMT	https://www.technex.in/conclave/	D:/@WEB/!!technix/technix/www.technex.in/conclave/index.html	(from https://www.technex.in/)
14:49:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:22%20GMT	https://www.technex.in/sponsors	D:/@WEB/!!technix/technix/www.technex.in/sponsors	(from https://www.technex.in/)
14:49:25	145411/145411	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:23%20GMT	https://www.technex.in/sponsors/	D:/@WEB/!!technix/technix/www.technex.in/sponsors/index.html	(from https://www.technex.in/)
14:49:25	129290/129290	---M--	200	added ('OK')	image/jpeg	etag:%22af17239f3864b8412b7d766d2b9be972%22	https://res.cloudinary.com/vivekisgreat/image/upload/v1544891882/technex/Home_TEMP_EV.jpg	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/image/upload/v1544891882/technex/Home_TEMP_EV.jpg	(from https://www.technex.in/)
14:49:26	77326/77326	---M--	200	added ('OK')	image/jpeg	etag:%221426779bd1b47c6b58d2b978083aa5d4%22	https://d1mteuyxkcon0n.cloudfront.net/index19/images19/workshop.jpg	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/images19/workshop.jpg	(from https://www.technex.in/)
14:49:26	70789/70789	---M--	200	added ('OK')	image/jpeg	etag:%223b5c902c3deb40a3ffd7aba88dc342f9%22	https://res.cloudinary.com/vivekisgreat/image/upload/v1544891838/technex/Home_TEMP_TT.jpg	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/image/upload/v1544891838/technex/Home_TEMP_TT.jpg	(from https://www.technex.in/)
14:49:26	152710/152710	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:23%20GMT	https://www.technex.in/register/	D:/@WEB/!!technix/technix/www.technex.in/register/index.html	(from https://www.technex.in/)
14:49:27	101388/101388	---M--	200	added ('OK')	image/jpeg	etag:%2261bd800cb110c996fed6d21ac2a30b25%22	https://res.cloudinary.com/vivekisgreat/image/upload/v1544891875/technex/Home_TEMP_EX.jpg	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/image/upload/v1544891875/technex/Home_TEMP_EX.jpg	(from https://www.technex.in/)
14:49:28	105585/105585	---M--	200	added ('OK')	image/jpeg	etag:%225878fd83c7389ec4b1091ad7f8b16304%22	https://res.cloudinary.com/vivekisgreat/image/upload/v1544891847/technex/Home_TEMP_STARTUP.jpg	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/image/upload/v1544891847/technex/Home_TEMP_STARTUP.jpg	(from https://www.technex.in/)
14:49:28	233575/233575	---M--	200	added ('OK')	image/jpeg	etag:%22da2907e89187a53e1921df983101165d%22	https://res.cloudinary.com/vivekisgreat/image/upload/v1544891853/technex/Home_TEMP_SOCIAL.jpg	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/image/upload/v1544891853/technex/Home_TEMP_SOCIAL.jpg	(from https://www.technex.in/)
14:49:29	72203/72203	---M--	200	added ('OK')	image/jpeg	etag:%22e4b05b3580a6e0dfec7f4272df9e1f73%22	https://res.cloudinary.com/vivekisgreat/image/upload/v1544891887/technex/Home_TEMP_Airshow.jpg	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/image/upload/v1544891887/technex/Home_TEMP_Airshow.jpg	(from https://www.technex.in/)
14:49:29	146816/146816	---M--	200	added ('OK')	image/jpeg	etag:%228b32e1c3fb1ebb4fe9668240d6006cd9%22	https://res.cloudinary.com/vivekisgreat/image/upload/v1544891869/technex/Home_TEMP_KS.jpg	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/image/upload/v1544891869/technex/Home_TEMP_KS.jpg	(from https://www.technex.in/)
14:49:30	633/633	---M--	200	added ('OK')	image/png	etag:%2225d262963baba11c54bc8af89f58c2f8%22	https://d1mteuyxkcon0n.cloudfront.net/admin2/img/fb.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/admin2/img/fb.png	(from https://www.technex.in/)
14:49:30	3223/3223	---M--	200	added ('OK')	image/png	etag:%22121c8bce45e4a59d342c7563016f3312%22	https://d1mteuyxkcon0n.cloudfront.net/admin2/img/twitter%20(1).png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/admin2/img/twitter%20(1).png	(from https://www.technex.in/)
14:49:30	1853/1853	---M--	200	added ('OK')	image/png	etag:%226b17b51bb4b710cc691c741008aa234a%22	https://d1mteuyxkcon0n.cloudfront.net/admin2/img/insta%20(1).png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/admin2/img/insta%20(1).png	(from https://www.technex.in/)
14:49:31	959/959	---M--	200	added ('OK')	image/png	etag:%2284fd9b67e98aae5daa3078fca887af76%22	https://d1mteuyxkcon0n.cloudfront.net/admin2/img/youtube.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/admin2/img/youtube.png	(from https://www.technex.in/)
14:49:31	14278/14278	---M-Z	200	added ('OK')	text/javascript	etag:W/%229d66467e6e72e7d82017b0e5b4a939f0%22	https://res.cloudinary.com/vivekisgreat/raw/upload/v1545888001/technex/tingle.js	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/raw/upload/v1545888001/technex/tingle.js	(from https://www.technex.in/)
14:49:32	53063/53063	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2023%20Feb%202019%2009:19:30%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/@WEB/!!technix/technix/connect.facebook.net/en_US/fbevents.js	(from https://www.technex.in/)
14:49:33	197835/197835	---M--	200	added ('OK')	application/javascript	etag:%2272d1412a3111c92d6d048392a8760904%22	https://d1mteuyxkcon0n.cloudfront.net/index19/scripts/script219.js	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/scripts/script219.js	(from https://www.technex.in/)
14:49:35	133753/133753	---M-Z	200	added ('OK')	application/javascript	etag:%225c654877-aa35%22	https://mc.yandex.ru/metrika/watch.js	D:/@WEB/!!technix/technix/mc.yandex.ru/metrika/watch.js	(from https://www.technex.in/)
14:49:36	11659/11659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6aef90-2d8b%22	https://ajax.cloudflare.com/cdn-cgi/scripts/cb7744ae/cloudflare-static/rocket-loader.min.js	D:/@WEB/!!technix/technix/ajax.cloudflare.com/cdn-cgi/scripts/cb7744ae/cloudflare-static/rocket-loader.min.js	(from https://www.technex.in/)
14:49:38	61272/61272	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/images/404-Error-new.png	D:/@WEB/!!technix/technix/www.technex.in/static/images/404-Error-new.png	(from https://www.technex.in/img/favicon/browserconfig.xml)
14:49:43	11020/11020	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/Clarke.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/Clarke.woff2	(from https://www.technex.in/static/index19/style/style219.css)
14:49:43	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	D:/@WEB/!!technix/technix/www.google-analytics.com/analytics.js	(from https://www.technex.in/img/favicon/browserconfig.xml)
14:49:45	2124310/2124310	---M--	200	added ('OK')	application/javascript	etag:%2222f08e3319667c6e9bf21c2c2fa12baf%22	https://d1mteuyxkcon0n.cloudfront.net/index19/scripts/script119.js	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/scripts/script119.js	(from https://www.technex.in/)
14:49:45	15648/15648	---MCZ	200	added ('OK')	application/font-woff	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/Clarke.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/Clarke.woff	(from https://www.technex.in/static/index19/style/style219.css)
